,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
7707,Hons or Grater,26.0,Yes,No,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Mobile
7708,Upto HSC,18.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,6,3,No,,Urban,Female,No,Computer
7709,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,Yes,Public,Urban,Male,Yes,Mobile
7710,Hons or Grater,,Yes,No,No,No,Rural,Yes,Broadband,4,3,Yes,Public,Urban,Male,Yes,Computer
7711,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,2,No,Private,Urban,Female,Yes,Computer
7712,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,4,No,Private,Rural,Female,Yes,Computer
7713,Hons or Grater,25.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,2,Yes,Private,Rural,Male,Yes,Mobile
7714,Hons or Grater,21.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,No,Public,Urban,Female,No,Computer
7715,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,4,No,Public,Rural,Female,Yes,Computer
7716,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,,Yes,Computer
7717,Upto HSC,,No,Yes,Yes,Yes,Rural,Yes,Mobile Internet,5,4,No,Public,Urban,Male,No,Computer
7718,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,4,No,Private,Urban,Male,Yes,Computer
7719,Hons or Grater,21.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,Female,Yes,Computer
7720,Upto HSC,22.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,Yes,Computer
7721,Hons or Grater,22.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Female,,Computer
7722,Upto HSC,26.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,5,3,No,Private,Urban,Female,No,Computer
7723,Upto HSC,24.0,Yes,No,No,No,Rural,Yes,Broadband,4,2,No,Private,Rural,Female,Yes,Computer
7724,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,No,Public,Urban,Female,Yes,Mobile
7725,Hons or Grater,22.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,Male,Yes,Computer
7726,Hons or Grater,26.0,Yes,No,No,No,Urban,Yes,Mobile Internet,6,3,No,Private,Urban,Female,No,Mobile
7727,Hons or Grater,24.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,6,3,No,Public,Rural,Male,Yes,Computer
7728,Upto HSC,21.0,Yes,No,No,Yes,,Yes,Broadband,4,4,Yes,Private,Urban,Female,Yes,Computer
7729,Hons or Grater,23.0,,Yes,No,No,Urban,No,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Mobile
7730,Hons or Grater,22.0,Yes,No,Yes,No,,Yes,Mobile Internet,5,4,No,Private,Rural,Female,Yes,Mobile
7731,Hons or Grater,23.0,Yes,No,Yes,No,Rural,Yes,Mobile Internet,3,3,No,Public,,Female,No,Mobile
7732,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,3,No,,Urban,,Yes,Computer
7733,Hons or Grater,23.0,Yes,No,No,Yes,Rural,Yes,Broadband,3,3,Yes,Private,Urban,Female,,Computer
7734,Hons or Grater,22.0,Yes,,No,Yes,Urban,No,Mobile Internet,6,3,Yes,Public,Rural,Male,No,Computer
7735,Upto HSC,19.0,No,Yes,Yes,No,,Yes,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Computer
7736,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Male,No,Computer
7737,Hons or Grater,21.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Female,No,Mobile
7738,Hons or Grater,25.0,Yes,No,No,Yes,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Mobile
7739,Upto HSC,22.0,No,Yes,Yes,No,Urban,Yes,Broadband,4,2,Yes,Public,Rural,Male,No,Computer
7740,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,No,Broadband,3,3,Yes,Public,Rural,Male,No,Computer
7741,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,Yes,Mobile
7742,Upto HSC,24.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Private,Urban,Female,No,Computer
7743,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Public,Rural,Female,No,Computer
7744,Hons or Grater,,Yes,No,No,No,Urban,Yes,Broadband,4,3,Yes,,,Male,,Computer
7745,Upto HSC,20.0,No,Yes,Yes,No,Urban,No,Broadband,5,2,Yes,Public,Urban,Male,Yes,Mobile
7746,Hons or Grater,21.0,Yes,No,No,Yes,,Yes,Broadband,4,2,Yes,Public,Rural,Male,Yes,Mobile
7747,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,Yes,Public,Rural,Female,Yes,Computer
7748,Upto HSC,25.0,Yes,Yes,Yes,No,Urban,No,Broadband,4,3,No,Private,Rural,Female,,Mobile
7749,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,No,Public,Urban,Female,Yes,Mobile
7750,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Rural,Male,Yes,Mobile
7751,Upto HSC,22.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Private,Rural,Female,Yes,Mobile
7752,Hons or Grater,24.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Female,No,Computer
7753,Hons or Grater,22.0,Yes,No,No,No,Urban,Yes,Mobile Internet,3,2,No,Private,Urban,Male,Yes,Computer
7754,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,3,2,No,Public,Urban,Male,Yes,Computer
7755,Hons or Grater,26.0,Yes,No,No,No,Urban,Yes,Broadband,6,3,Yes,Private,Rural,Male,Yes,Computer
7756,Hons or Grater,21.0,No,No,No,Yes,Urban,Yes,Broadband,4,4,No,,Urban,Male,Yes,Computer
7757,Upto HSC,18.0,Yes,,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Male,Yes,Mobile
7758,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,Yes,Computer
7759,Upto HSC,20.0,Yes,No,Yes,No,Urban,Yes,Broadband,4,2,Yes,Public,Rural,Female,Yes,Computer
7760,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,6,2,No,Private,Urban,Female,No,Computer
7761,Hons or Grater,24.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,3,2,No,Private,Urban,Female,Yes,Computer
7762,Hons or Grater,25.0,No,No,No,No,Rural,Yes,Mobile Internet,4,3,No,Private,Urban,Female,Yes,Computer
7763,Hons or Grater,26.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,6,3,Yes,Public,Urban,Female,No,Computer
7764,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,2,Yes,Private,Urban,Male,No,Mobile
7765,Hons or Grater,23.0,No,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Male,Yes,Computer
7766,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,Yes,Private,Rural,Male,Yes,Computer
7767,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Male,Yes,Mobile
7768,Upto HSC,18.0,Yes,No,Yes,Yes,Rural,Yes,Broadband,6,3,Yes,Private,Urban,Female,No,Computer
7769,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Male,Yes,Mobile
7770,Upto HSC,18.0,Yes,No,No,No,Urban,Yes,Mobile Internet,3,3,No,Private,Urban,Female,No,Computer
7771,Upto HSC,21.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,Yes,Private,Rural,Male,No,Mobile
7772,Hons or Grater,21.0,Yes,No,No,No,Rural,Yes,Broadband,6,2,Yes,Private,Urban,Male,Yes,Mobile
7773,Hons or Grater,23.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Male,Yes,Computer
7774,Hons or Grater,22.0,Yes,Yes,No,No,,Yes,Mobile Internet,3,2,No,Public,Urban,Male,Yes,Computer
7775,Upto HSC,18.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,3,Yes,Private,Urban,Male,Yes,Mobile
7776,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Private,,Female,No,Mobile
7777,Upto HSC,22.0,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,3,3,No,Public,Urban,Male,Yes,Computer
7778,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,6,3,No,Public,Rural,Male,Yes,Computer
7779,Upto HSC,24.0,No,Yes,Yes,No,Urban,No,Broadband,3,2,Yes,Public,Rural,Male,No,Computer
7780,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Female,No,Mobile
7781,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,Yes,,,Male,Yes,Mobile
7782,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,Yes,Computer
7783,Upto HSC,26.0,Yes,No,No,No,Urban,Yes,Broadband,3,3,Yes,Public,Rural,Male,Yes,Mobile
7784,Upto HSC,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,Yes,,,Male,Yes,Mobile
7785,Hons or Grater,25.0,Yes,No,Yes,No,Rural,Yes,Mobile Internet,6,3,No,,Rural,Male,No,Computer
7786,Upto HSC,18.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,4,No,Public,,Male,Yes,Mobile
7787,Upto HSC,25.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,6,3,No,Private,Rural,Male,No,Computer
7788,Hons or Grater,23.0,Yes,,Yes,No,Rural,Yes,Broadband,5,4,Yes,Private,Urban,Male,Yes,Computer
7789,Upto HSC,25.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,2,Yes,Public,Rural,Male,,Computer
7790,Upto HSC,20.0,Yes,,Yes,Yes,Urban,Yes,Broadband,5,2,Yes,Public,Urban,Female,Yes,Mobile
7791,Upto HSC,19.0,Yes,Yes,No,No,Urban,No,Broadband,4,2,No,Public,,Female,No,Computer
7792,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,2,No,Private,Rural,Male,No,Mobile
7793,Hons or Grater,23.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Female,Yes,Computer
7794,Hons or Grater,22.0,Yes,,No,No,Rural,Yes,Mobile Internet,4,2,No,Public,Urban,Male,Yes,Computer
7795,Upto HSC,25.0,Yes,No,No,No,,Yes,Mobile Internet,5,2,No,Private,Rural,Male,No,Computer
7796,Upto HSC,18.0,No,No,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Private,Rural,Male,Yes,Computer
7797,Hons or Grater,22.0,No,No,No,No,Urban,Yes,Broadband,5,3,No,Public,Urban,Male,Yes,Mobile
7798,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Public,Urban,Male,,Computer
7799,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,3,3,Yes,,Rural,Male,Yes,Mobile
7800,Hons or Grater,22.0,Yes,No,Yes,No,Urban,Yes,Broadband,6,2,Yes,Private,Urban,Male,No,Computer
7801,Hons or Grater,24.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,No,Public,Urban,Female,Yes,Computer
7802,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Rural,Yes,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Computer
7803,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,6,4,Yes,Private,Rural,Female,Yes,Computer
7804,Upto HSC,,Yes,,No,Yes,Urban,Yes,Mobile Internet,6,4,No,Private,Rural,Male,,Computer
7805,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,Yes,Public,Rural,Male,No,Computer
7806,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,3,3,No,,Rural,Male,Yes,Mobile
7807,Hons or Grater,22.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Computer
7808,Hons or Grater,22.0,Yes,No,No,No,Rural,Yes,Broadband,6,3,Yes,Public,Urban,Male,Yes,Computer
7809,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Female,Yes,Computer
7810,Upto HSC,18.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,No,Private,Urban,Male,No,Mobile
7811,Upto HSC,22.0,Yes,No,Yes,No,Rural,Yes,Broadband,4,3,No,Public,Urban,Male,No,Computer
7812,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,Yes,Public,Urban,Female,Yes,Mobile
7813,Hons or Grater,,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Public,Rural,Female,Yes,Computer
7814,Upto HSC,21.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Female,No,Computer
7815,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Broadband,6,2,Yes,Private,Rural,Male,Yes,Computer
7816,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,4,No,Private,Rural,,Yes,Mobile
7817,Upto HSC,19.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,No,Public,Rural,Male,No,Computer
7818,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,No,Public,Rural,Male,No,Computer
7819,Hons or Grater,26.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Rural,Female,Yes,Computer
7820,Upto HSC,25.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,6,4,Yes,Public,Rural,Female,Yes,Computer
7821,Hons or Grater,23.0,No,Yes,No,No,Urban,Yes,Mobile Internet,3,2,No,Public,Urban,Male,No,Computer
7822,Hons or Grater,25.0,Yes,No,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Female,No,Computer
7823,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Male,No,Computer
7824,Upto HSC,25.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,6,4,No,Public,Rural,Male,No,Mobile
7825,Upto HSC,23.0,Yes,,Yes,No,Urban,No,Broadband,4,4,No,Private,Urban,,Yes,Mobile
7826,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Broadband,4,2,Yes,Private,Urban,Male,,Computer
7827,Hons or Grater,,Yes,No,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Public,Urban,Male,Yes,Mobile
7828,Hons or Grater,26.0,Yes,No,No,Yes,Urban,Yes,Broadband,5,2,No,Private,Urban,Male,Yes,Mobile
7829,Upto HSC,23.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Female,No,Computer
7830,Upto HSC,26.0,Yes,No,No,No,,Yes,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
7831,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Rural,Yes,Mobile Internet,5,4,Yes,Private,Rural,Female,No,Computer
7832,Hons or Grater,21.0,,Yes,No,No,Urban,Yes,Broadband,4,2,No,Private,Urban,Male,Yes,Computer
7833,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,No,Private,,Female,No,Computer
7834,Hons or Grater,22.0,No,No,Yes,No,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Male,No,Computer
7835,Hons or Grater,21.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,6,3,Yes,Private,Urban,Male,Yes,Computer
7836,Upto HSC,19.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,3,2,No,Private,Urban,Male,No,Computer
7837,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,5,4,Yes,Private,Urban,Male,Yes,Computer
7838,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,6,2,Yes,Private,Urban,Male,Yes,Mobile
7839,Hons or Grater,23.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Computer
7840,Hons or Grater,24.0,Yes,No,Yes,No,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Male,No,Mobile
7841,Upto HSC,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,4,Yes,Private,Urban,,No,Computer
7842,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,3,2,No,Public,Urban,Female,,Computer
7843,Upto HSC,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,No,Private,Rural,,,Computer
7844,Hons or Grater,25.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,2,No,,Rural,Male,Yes,Mobile
7845,Hons or Grater,,Yes,No,No,Yes,Urban,Yes,Broadband,5,3,No,Private,Urban,Female,No,Computer
7846,Hons or Grater,22.0,Yes,Yes,Yes,Yes,,Yes,Broadband,5,3,Yes,Public,Rural,Male,Yes,Mobile
7847,Hons or Grater,21.0,No,No,Yes,Yes,Urban,Yes,Mobile Internet,6,3,No,Private,Rural,,No,Computer
7848,Hons or Grater,22.0,Yes,No,Yes,No,Rural,Yes,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Mobile
7849,Hons or Grater,21.0,Yes,No,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Female,,Computer
7850,Upto HSC,18.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,2,No,Public,Rural,Female,Yes,Mobile
7851,Hons or Grater,24.0,Yes,No,No,No,Urban,Yes,Broadband,3,3,No,Private,,Female,,Mobile
7852,Upto HSC,24.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,6,2,No,Private,Urban,Male,No,Computer
7853,Upto HSC,20.0,No,Yes,No,No,Urban,Yes,Broadband,5,2,No,Public,Urban,Female,Yes,Computer
7854,Hons or Grater,24.0,No,No,Yes,No,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Mobile
7855,Hons or Grater,26.0,No,No,No,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Computer
7856,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,3,Yes,Private,Urban,Female,Yes,Mobile
7857,Hons or Grater,24.0,Yes,No,Yes,No,Urban,Yes,Broadband,4,4,Yes,Private,,Male,Yes,Mobile
7858,Upto HSC,22.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,3,3,Yes,Private,Urban,,No,Computer
7859,Upto HSC,,No,,Yes,Yes,Urban,Yes,Broadband,4,4,No,Private,Urban,Female,,Computer
7860,Upto HSC,21.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,4,3,Yes,Public,Urban,Male,No,Mobile
7861,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Broadband,6,4,No,Public,Urban,Male,Yes,Computer
7862,Upto HSC,20.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,3,No,,Rural,Male,Yes,Computer
7863,Hons or Grater,26.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,3,4,No,Private,Rural,Female,,Computer
7864,Hons or Grater,23.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,3,No,Public,Rural,Male,Yes,Computer
7865,Upto HSC,24.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,4,Yes,Private,Urban,Female,Yes,Computer
7866,Hons or Grater,22.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Mobile
7867,Upto HSC,26.0,Yes,No,No,No,Rural,Yes,Broadband,4,4,No,Public,Urban,Female,Yes,Mobile
7868,Hons or Grater,22.0,Yes,,Yes,Yes,Rural,Yes,Broadband,4,4,Yes,Public,Rural,Female,Yes,Mobile
7869,Upto HSC,18.0,,No,No,No,Rural,Yes,Mobile Internet,5,2,Yes,Public,Urban,,No,Computer
7870,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,3,No,Private,,Male,,Mobile
7871,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Public,Urban,Male,Yes,Computer
7872,Hons or Grater,24.0,Yes,No,Yes,No,Urban,Yes,Broadband,4,4,Yes,Private,,Male,,Computer
7873,Hons or Grater,23.0,Yes,No,Yes,No,Rural,Yes,Broadband,4,4,No,Private,Urban,Female,Yes,Computer
7874,Upto HSC,23.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,5,3,No,Public,Rural,Female,No,Mobile
7875,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Computer
7876,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Computer
7877,Hons or Grater,21.0,No,No,Yes,Yes,,Yes,Mobile Internet,4,3,No,,Rural,Female,No,Mobile
7878,Hons or Grater,23.0,Yes,Yes,No,No,Rural,No,Broadband,3,3,Yes,Public,Urban,Female,Yes,Computer
7879,Upto HSC,22.0,Yes,No,Yes,No,Rural,Yes,Mobile Internet,4,2,Yes,Public,Urban,Male,Yes,Mobile
7880,Hons or Grater,23.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Mobile
7881,Upto HSC,22.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,6,2,No,Private,Urban,Female,,Mobile
7882,Hons or Grater,23.0,Yes,No,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Female,No,Computer
7883,Hons or Grater,22.0,,No,Yes,Yes,Urban,Yes,Mobile Internet,6,2,No,Public,Urban,Female,No,Mobile
7884,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,,,Male,Yes,Computer
7885,Hons or Grater,21.0,Yes,No,No,No,Rural,Yes,Broadband,6,4,Yes,Public,Rural,Male,Yes,Mobile
7886,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,Yes,Public,Rural,Female,No,Computer
7887,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,4,4,No,Private,,Male,No,Computer
7888,Upto HSC,18.0,Yes,Yes,Yes,No,,Yes,Mobile Internet,3,3,Yes,Private,Urban,,Yes,Mobile
7889,Upto HSC,22.0,Yes,No,Yes,No,Rural,Yes,Broadband,5,3,Yes,,Rural,Male,Yes,Mobile
7890,Hons or Grater,25.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,Yes,Public,Rural,Female,No,Mobile
7891,Upto HSC,21.0,Yes,Yes,Yes,No,,Yes,Mobile Internet,5,3,No,Private,,Female,No,Mobile
7892,Upto HSC,25.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,4,No,Private,Urban,Female,Yes,Computer
7893,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,2,Yes,Private,Rural,Female,Yes,Mobile
7894,Hons or Grater,,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,5,2,Yes,Public,Rural,Female,No,Computer
7895,Upto HSC,18.0,Yes,,No,Yes,Rural,No,Mobile Internet,5,3,Yes,Private,,Female,No,Mobile
7896,Upto HSC,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,2,Yes,Private,Urban,Male,Yes,Computer
7897,Hons or Grater,21.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Male,No,Computer
7898,Hons or Grater,22.0,Yes,No,No,No,Rural,Yes,Broadband,4,2,No,Public,Rural,Female,Yes,Computer
7899,Upto HSC,22.0,Yes,No,No,Yes,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Female,Yes,Computer
7900,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Broadband,3,2,Yes,Private,Urban,Female,Yes,Mobile
7901,Hons or Grater,26.0,Yes,No,Yes,Yes,Rural,Yes,Broadband,4,3,No,Private,Rural,Male,Yes,Mobile
7902,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,2,No,Private,Rural,Female,Yes,Mobile
7903,Hons or Grater,22.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,,Male,Yes,Mobile
7904,Hons or Grater,26.0,Yes,Yes,Yes,No,Rural,No,Broadband,6,2,No,Private,Rural,Male,Yes,Mobile
7905,Hons or Grater,24.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,5,2,No,Private,Rural,Male,No,Computer
7906,Upto HSC,,Yes,No,No,Yes,Rural,Yes,Mobile Internet,3,3,Yes,Private,Urban,Male,Yes,Computer
7907,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,3,Yes,Private,Urban,Female,Yes,Computer
7908,Upto HSC,22.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,No,Computer
7909,Upto HSC,,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Computer
7910,Hons or Grater,24.0,No,Yes,No,No,Rural,No,Broadband,4,3,Yes,Public,Rural,Male,No,Computer
7911,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,Yes,Public,Urban,Female,,Mobile
7912,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,3,Yes,Public,Urban,Male,Yes,Mobile
7913,Hons or Grater,,No,Yes,Yes,No,Rural,Yes,Mobile Internet,5,2,Yes,Private,Urban,Female,Yes,Computer
7914,Hons or Grater,24.0,Yes,No,Yes,No,Rural,Yes,Broadband,5,2,No,Private,Urban,Male,,Computer
7915,Upto HSC,18.0,No,No,Yes,No,Urban,Yes,Mobile Internet,5,4,Yes,Private,,Male,,Mobile
7916,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,4,Yes,Private,Urban,Female,Yes,Mobile
7917,Upto HSC,23.0,No,,Yes,Yes,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,No,Mobile
7918,Upto HSC,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,4,No,Private,Urban,Female,No,Mobile
